no. with space,sender,message,date,geolat,geolon
229,ErtMadriaga,namatay lahat ng miyembro ng pamilya dahil sa bagyo kung ako yan mababaliw ako ! diyos ko po ! # yolandaph # tvpatrol # prayforthephilippines : (,Mon Nov 11 20:41:39 CST 2014,14.6890576,121.0373370
230,magicvillasper,will donate some of my clothes and ready to eat foods for the victims of super typhoon yolanda .,Mon Nov 11 20:41:44 CST 2014,14.5972870,121.0354676
231,Tatol17,nakakadurog ng puso ang balita .. # yolandaph,Mon Nov 11 20:41:45 CST 2014,14.6595100,121.0748700
232,Herbertfonta,grabe talga yung bagyong yolanda,Mon Nov 11 20:41:46 CST 2014,14.5000946,121.0171618
233,ErtMadriaga,makonsensya sana lahat ng mambubulsa ng donasyon lalo na yung mga pera galing ibang bansa . # yolandaph # tvpatrol # prayforthephilippines,Mon Nov 11 20:41:56 CST 2014,14.6890576,121.0373370
234,HighhJeybiHighh,parang nakakabwisit lang yung mga kupal na nagpopost pa ng gimik at happenings while yolanda &apos;s make a disaster . at pnagyayabang pa nila ? tss,Mon Nov 11 20:41:58 CST 2014,14.5282533,121.1649473
236,thisgrasya,the prayers . ? nakakaiyak ! tapos piniplay pa ung vids numg yolanda .,Mon Nov 11 20:42:03 CST 2014,14.5830587,121.1024252
237,MAEnamahal,god kakatapos lang ng yolanda meron na naman ? ? : ( (,Mon Nov 11 20:42:17 CST 2014,14.6269063,121.1059335
238,jhamo_cpa21,who will be the first to give up their dap for tacloban ? # yolandaph # yolandarelief,Mon Nov 11 20:42:29 CST 2014,13.9219853,121.0874120
239,dnobuenaventura,friends and family let &apos;s help the victims of typhoon yolanda ( hainan ) # phyolanda # yolandaph # hainan … http : / / t.co / wau4xklkug,Mon Nov 11 20:42:51 CST 2014,14.6239880,121.1002530
240,Chiro11287,sobra na talaga iba na to kkatapos lng ng bagyong yolanda may panibagong bgyo agad kawawa naman ang mga kababayan nten magpapasko pa naman : (,Mon Nov 11 20:42:54 CST 2014,14.4162659,121.0149841
241,trixiemay00,kwawa ung mga binisita ni yolanda tsk,Mon Nov 11 20:43:00 CST 2014,15.4547740,120.7003228
242,beng_lopez,@ shutanginabeks ung eksenang bilang tao na hawak lahat ng pangangailangan niya magrereklamo ka pa ba hbang ang iba walng wla na ? # yolandaph,Mon Nov 11 20:43:02 CST 2014,14.4170200,120.8954500
246,rommelfrancisco,i &apos;m home ... tpos dadatnan mo balita mula sa nasalanta ni yolanda ... nahabag ako ....,Mon Nov 11 20:48:19 CST 2014,14.4253500,121.0447500
247,RjNerona,fvck yolanda ..... grrrrr,Mon Nov 11 20:48:22 CST 2014,14.5245539,121.0185805
248,itsmebvrt,message me guys on ways you can help . any donations will help alot . # yolanda # typhoon # supertyphoon … http : / / t.co / zlem2eu4uq,Mon Nov 11 20:48:29 CST 2014,14.5579441,121.0193411
249,GeaDaza,naawa talaga ako sa mga nasalanta ng yolanda : (,Mon Nov 11 20:49:16 CST 2014,14.5972340,120.9916397
250,thekayelantoria,# prayforthephilippines my heart goes out to those who were affected by yolanda especially those who lost their loved one / s ?,Mon Nov 11 20:50:29 CST 2014,14.6870538,121.0231765
251,Just_Paulay,huwag maging madamot . kung nakakabili kayo ng libo libong bagay . ano ba naman ung kaunting tulong na ibibigay sa kanila . # yolandaph,Mon Nov 11 20:53:36 CST 2014,14.6022836,120.9644299
252,Just_Paulay,gaano ba kayo kagahaman ! ? ibibigay nalang sa nasalanta nanakawin nyo pa ! ? ano ba ! ? ! ? ! ? ! # yolandaph,Mon Nov 11 20:57:50 CST 2014,14.6022836,120.9644299
254,jonatrinidad7,sana makapag donate din ako ng something para sa mga biktima ng yolanda ...,Mon Nov 11 21:01:23 CST 2014,14.6023568,120.9948585
255,missdimples0922,grabe talaga nangyare sa sinalanta ni bagyong yolanda o.o my heart is melting o.o,Mon Nov 11 21:04:44 CST 2014,14.5379375,121.0796883
256,iamnerise0614,sana lahat ng kukumpuskahin kay napoles ( kung meron man ) eh gawing pondo para sa housing ng mga typhoon yolanda victims,Mon Nov 11 21:06:27 CST 2014,14.6313200,121.1032500
257,magicvillasper,daig mo pa ang mga babae magpaiyak yolanda ! : /,Mon Nov 11 21:08:27 CST 2014,14.5972752,121.0354017
258,1a23Pj,kawawa naman ung nsalanta ni yolanda ...,Mon Nov 11 21:16:03 CST 2014,15.4994400,120.9915800
259,bettinadenise26,let us all pray for the victims of typhoon yolanda .. &lt; \ 3,Mon Nov 11 21:18:46 CST 2014,14.5161138,121.0530429
260,RyanCoCOCRUNCH,donating fir the yolanda victims ! : ),Mon Nov 11 21:20:47 CST 2014,14.5984443,121.0373989
261,trixiemay00,whoo eto na ata pinaka memorable na nangyari sa buhay ko grabe saklap .. msaklap kpa kay yolanda,Mon Nov 11 21:21:00 CST 2014,15.4547747,120.7003152
262,jonatrinidad7,can i just organize a concert for the victims of yolanda ...,Mon Nov 11 21:21:22 CST 2014,14.6023568,120.9948586
263,immafranz,so disturbing to watch the news stay strong people of leyte and other areas that was affected by yolanda .. ?,Mon Nov 11 21:22:34 CST 2014,14.5945546,121.0044820
264,ChrystalAleona,seeing news about typhoon yolanda makes my heart break ? ?,Mon Nov 11 21:29:40 CST 2014,14.5795358,120.9960672
265,bettinadenise26,seeing the victims of typhoon yolanda is really heart breaking &lt; \ 3,Mon Nov 11 21:32:35 CST 2014,14.5161121,121.0530406
266,MisterAngelo10,worst picture ! ! # yolandavictims ? http : / / t.co / metwseddxd,Mon Nov 11 21:41:07 CST 2014,13.9233131,120.7085363
268,JenDec888,i can &apos;t stop crying w / all this new videos of # yolanda is coming to light . god please give us the wisdom to understand why this happen 2 us,Mon Nov 11 22:14:22 CST 2014,14.5822300,121.0889000
269,justchiellax,nw 24 oras . let us all pray for all the victims of typhoon yolanda .,Mon Nov 11 22:19:21 CST 2014,14.7143821,121.0331340
271,JiiinSanity,pati ormoc grabe ka yolanda . ?,Mon Nov 11 23:27:00 CST 2014,14.4346700,120.9596440
272,budzgaen,for # yolandaph victims # bantayanangdonasyonngiabmgbansa mga # buwaya ng # pilipinas utang na loob para … http : / / t.co / sh4wbqfxgx,Mon Nov 11 23:28:52 CST 2014,14.6538247,121.0340166
273,eneeeeeebeYHEN,pisti ka yolanda ! : (,Mon Nov 11 23:59:40 CST 2014,14.6362570,121.0895178
275,dicegandako,gusto kong tumulong sa mga nasalanta ng bagyong yolanda . for real . ? ? ? ?,Tue Nov 12 01:01:53 CST 2014,14.5675202,120.9976816
276,jheanetic,@ cesfransalomon hahahaha ang haaard : ( ( jk baka masampal ko si yolanda = ) ) ) ),Tue Nov 12 01:04:06 CST 2014,14.5791202,121.0299840
277,BrookeInManila,@ indigirltwitz @ cazedmunds locked in ! please play pray by jb sending those to all victims of typoon yolanda . # mellownights,Tue Nov 12 01:24:45 CST 2014,14.6075400,121.0045800
278,budzgaen,? another one # friends # help # love # yolandaph # victims ? ? ? @ fitness first platinum http : / / t.co / grh1wkq813,Tue Nov 12 01:48:42 CST 2014,14.6538247,121.0340166
279,_Luisaaaaa,our family will donate to the victims of typhoon yolanda . pray pray pray,Tue Nov 12 01:58:42 CST 2014,14.6008244,121.0619768
280,lugecarrasco,i just cant ! ! ! tears tears # yolanda,Tue Nov 12 02:14:27 CST 2014,14.5732718,121.0610554
281,JustinEitherWay,but 10 000 died from yolanda ... # shit,Tue Nov 12 02:29:25 CST 2014,14.5723110,120.9972824
282,budzgaen,? ? ? # thebestone # dineforacause # yabu # love for the # yolandaph # victims ? ? ? ? ? ? ? ? ? ? @ fitness first … http : / / t.co / awkklkfdfj,Tue Nov 12 02:30:15 CST 2014,14.6538247,121.0340166
283,budzgaen,? # kapamilya ? ? # kapuso ? # kapatid # bayanihan for the # yolandaph # victims # love # pilipinas @ fitness … http : / / t.co / vg0uzpdaix,Tue Nov 12 03:03:34 CST 2014,14.6538247,121.0340166
284,JuuustinSales,nagaccept ba ang san beda ng donations para sa victim ng yolanda ? ?,Tue Nov 12 03:04:33 CST 2014,14.6066202,121.0268690
285,ritzybaby18,lord please make sure that the help from the other countries will go to the people who are affected by typhoon yolanda,Tue Nov 12 03:24:46 CST 2014,14.6745815,121.0907819
286,mar_kofrias,watching news bout yolanda &apos;s devastating surge . sige po di n ko magrereklamo na delayed sahod ko : (,Tue Nov 12 03:44:11 CST 2014,14.6698452,121.0161430
287,dadadollente,# reliefph # yolandaph @ lbc corporate hq http : / / t.co / hbo5jj5cbl,Tue Nov 12 04:45:05 CST 2014,14.5190782,121.0174643
288,budzgaen,# unanghirit # operationbayanihan # telethon # hotline ? ? ? ? 981-19-50 for the # yolandaph # victims @ fitness … http : / / t.co / 9676my9zbz,Tue Nov 12 04:46:42 CST 2014,14.6538247,121.0340166
289,sergiecat_dolls,huwag ka lang basta maawa .... kumilos ka ! # prayforthephilippines # philippines # yolandaph # bangonpilipinas,Tue Nov 12 06:11:40 CST 2014,14.5587290,120.9841160
290,charievilla,fallen boy scout monument at palo leyte . help needed . # yolandaph @ palo leyte http : / / t.co / frkqumnsfc,Tue Nov 12 06:12:00 CST 2014,14.4996369,121.0104848
291,rissellumaad,@ armoiii awwww armii mee tooo i was hit by yolanda : ) ) ) i need goods hahaha,Tue Nov 12 06:14:47 CST 2014,14.6380697,121.0529567
292,rissellumaad,“ @ armoiii : done buying relief goods for le yolanda victims : ) otw to abs http : / / t.co / mvmwcoppo0 ”,Tue Nov 12 06:14:48 CST 2014,14.6380697,121.0529567
293,Misschelyy,@ robertmarion : giving what is due . now we are given a chance to become men / women for and with others . # yolandarelief,Tue Nov 12 06:16:14 CST 2014,14.5651326,121.0874241
294,nina_delrosario,nakakadepress manood ng news ! but we have to move-on ! donate na lang din tayo pag may time guys ! # yolanda # bangonpinas,Tue Nov 12 06:17:58 CST 2014,14.6306458,121.0612717
