date,question,text,tweetid,userid,username
 Wed Dec 05 13:59:11 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, TifÃ_n #Bopha deja 283 muertos en #Filipinas cientos estÃ¡n desaparecidos http://t.co/LiQeb9ZM,2.76E17,201867844, ReutersLatam
 Wed Dec 05 14:01:58 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, The #RapplerNewscast is LIVE on the site homepage. Top story: At least 274 dead in Davao ComVal: http://t.co/fBSNYlXR #PabloPH,2.76E17,330826792, rapplerdotcom
 Wed Dec 05 11:48:26 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, .@DSWDserves is calling for donations in the form of dry goods. For more info: http://t.co/39yCOp63 â€_ â€_ #ReliefPH #PabloPH | via @pcdspo,2.76E17,472122299, PhilippineStar
 Wed Dec 05 11:47:54 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, US laments 'devastation loss of life' from #PabloPH http://t.co/CDLaaL79,2.76E17,330826792, rapplerdotcom
 Wed Dec 05 11:48:46 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Roundup of pics from Southern Leyte as Typhoon Pablo came and went by @PlanAsia: http://t.co/gT4aO6LG #PabloPH #Bopha,2.76E17,59560250, PlanGlobal
 Wed Dec 05 04:55:38 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Üó�Î�Á_¢Â_€ƒÎæ±ÜóïÎ�Á_¢Â201224Î�‡¥_šBOPHA¥_ŠÜ�¿12_ìš5_„«12_»‰(JST)Ü�‚Ü�¿Îë„�‡¿10.2Î__Üó�_�±�µë119.4Î__Ü�‚Ü�‰Ü�£Ü�_Üó�_Ÿ_ÎË€Ü�¬_Á„Îì_Ü�¿975hPaÜó�_ìóÎ___¢Â_óôÜ�¿35Ü€çÜ€_Ü€šÜ€‚Ü�_Ü�»Üó‰ http://t.co/sjxddU25 #bopha #TY201224,2.76E17,12394852, DigitalTyphoon
 Wed Dec 05 04:55:40 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Typhoon BOPHA (201224) is at 10.2N 119.4E with 975hPa and 35m/s on 2012-12-05 03 UTC by JMA http://t.co/8HHZH11R #bopha #TY201224,2.76E17,78944955, DigitalTyphoonE
 Wed Dec 05 04:56:07 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, yesterday's sky! #pabloPH http://t.co/6qVEkswC,2.76E17,79678961, IMzarah
 Wed Dec 05 05:15:12 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, Photo mula kay Loucelle Mae Barranco sa lagay ng panahon sa Cuyo Islands Palawan. #PabloPH #PanahonTV http://t.co/28fU4sLq,2.76E17,793180483, PanahonTV
 Wed Dec 05 05:33:29 CET 2012,Please tag the following tweet based on the category or categories that best describes the link(s) included in the tweet, #Philippines biggest #typhoon kills >82 many buried under mud http://t.co/b1ehbdHo   @r3port3r #Haiti #Cuba #Bopha #Sandy,2.76E17,374932849, DadyChery
